,sentence,UMAP0,UMAP1
0,"A Hitchhiker’s Guide through the Bio-image Analysis Software Universe Robert Haase1,2, Elnaz Fazeli3, David Legland4,5, Michael Doube6, Siân Culley7,Ilya Belevich8, Eija Jokitalo8, Martin Schorb9,10, Anna Klemm11, Christian Tischer10 Affiliations: 1 DFG Cluster of Excellence “Physics of Life”, TU Dresden, Germany 2 Center for Systems Biology Dresden, Germany 3 Biomedicum Imaging Unit, Faculty of Medicine and HiLIFE, University of Helsinki, Finland 4 INRAE, UR BIA, F-44316 Nantes, France 5 INRAE, PROBE research infrastructure, BIBS facility, F-44316 Nantes, France 6 Department of Infectious Diseases and Public Health, City University of Hong Kong, Kowloon, Hong Kong 7 Randall Centre for Cell & Molecular Biophysics, Guy’s Campus, King’s College London, London SE1 1UL, UK 8 Institute of Biotechnology, Helsinki Institute of Life Science, University of Helsinki, Helsinki, Finland. 9 Electron Microscopy Core Facility, European Molecular Biology Laboratory, Heidelberg, Germany 10 Centre for Bioimage Analysis, European Molecular Biology Laboratory, Heidelberg, Germany 11 VI2 - Department of Information Technology and SciLifeLab BioImage Informatics Facility, Uppsala University, Uppsala, 752 37 Sweden Abstract:",-2.863276,8.680281
1,"Modern research in the life sciences is unthinkable without computational methods for extracting, quantifying and visualizing information derived from biological microscopy imaging data.",-3.7312953,7.87506
2,"In the past decade, we observed a dramatic increase in available software packages for these purposes.",-4.7486897,6.128065
3,"As it is increasingly difficult to keep track of the number of available image analysis platforms, tool collections, components and emerging technologies, we provide a conservative overview of software we use in daily routine and give insights into emerging new tools.",-4.183692,6.84753
4,"We give guidance on which aspects to consider when choosing the right platform, including aspects such as image data type, skills of the team, infrastructure and community at the institute and availability of time and budget.",-4.9128323,6.69118
5,Introduction Scientific bio-image analysis software plays a key role in modern life sciences (Levet et al. 2021).,-3.744875,7.941083
6,"New insights are virtually impossible without computational methods for image acquisition, processing, segmentation, feature extraction and visualization.",-3.7084248,7.6979804
7,"In the past decade, biologists have increasingly applied statistical data analysis of imaging data and machine learning for image processing and particularly for image segmentation, as these allow overcoming the limitations of purely descriptive methods.",-3.6353626,7.983928
8,We also perceive that tools and methods are converging:,-4.806174,6.5425954
9,"If a single software platform provides image processing, feature extraction, statistical analysis and visualization, it is superior and preferred to software that is only good in one of those tasks, at least from a user's perspective.",-4.4257746,6.405975
10,"The applications are highly diverse and spread across multiple sub-disciplines such as developmental biology, cancer research, immunology, cell and molecular biology, biophysics, agronomy, bioengineering and biomaterials.",-4.3364167,7.0873384
11,Often software solutions are created to address a particular analysis challenge in one of those sub-disciplines.,-4.22022,6.018863
12,"As it becomes increasingly hard to keep an overview of existing software, corresponding key applications and targeted scientific questions, we provide a detailed overview of current state-of-the-art software, upcoming next-generation tools and give hints for which aspects to consider when deciding between the many potential software solutions for current bio-image analysis questions.",-3.6344998,7.951101
13,An early career scientist searching for the right software for their image analysis might have the hardest decision to make.,-4.6559763,6.7391853
14,"Even if they know search engines specialized for bio-image analysis software such as https://biii.eu or https://bio.tools (BioImage Informatics Index (BIII) 2022; Elixir community 2022), it is hard to make any decision as beginners in the field often don't know the right terms to search for yet.",-4.6952753,7.093767
15,"Hence, the glossary provided below may be a good starting point to get an overview of available software and related use-cases.",-4.5126796,5.6758046
16,"Furthermore, we recommend attending institutional image-analysis courses, e.g. for PhD students in their first year.",-4.692051,7.0856295
17,"In addition, getting in touch with senior scientists in their own group, with collaborators and local light or electron microscopy facilities is a good opportunity to find out which software is used in similar projects on campus.",-5.1320453,6.9485908
